given_name,family_name,institution,affiliation,position_title
Bei,Hu,Notre Dame,ACMS,Chair and Professor of Applied Computational Mathematics & Statistics at the University of Notre Dame
Jun,Li,Notre Dame,ACMS,Associate Professor of Applied Computational Mathematics & Statistics at the University of Notre Dame
Fang,Liu,Notre Dame,ACMS,"Associate Professor, Adjunct Associate Professor of Biostatistics at Indiana University School of Medicine, Director of Graduate Studies in ACMS at the University of Notre Dame"
Danny,Chen,Notre Dame,AMCS,"Professor of Computer Science and Engineering, Applied Computational Mathematics & Statistics at the University of Notre Dame"
David B.,Go,Notre Dame,AME,"Professor of Aerospace and Mechanical Engineering, Professor of Chemical and Biomolecular Engineering (concurrent) at the University of Notre Dame"
Donny,Hanjaya-Putra,Notre Dame,AME,"Assistant Professor of Aerospace and Mechanical Engineering, Bioengineering Graduate Program at the University of Notre Dame"
Prakash,Nallathamby,Notre Dame,AME,"Research Assistant Professor, Department of Aerospace and Mechanical Engineering at the University of Notre Dame"
Glen,Niebur,Notre Dame,AME,Professor of Aerospace and Mechanical Engineering at the University of Notre Dame
Matthew,Ravosa,Notre Dame,AME,"Professor of Biological Sciences, Aerospace and Mechanical Engineering, and Anthropology at the University of Notre Dame"
Ryan,Roeder,Notre Dame,AME,"Professor of Aerospace and Mechanical Engineering, Bioengineering Graduate Program at the University of Notre Dame"
Sangpil,Yoon,Notre Dame,AME,"Assistant Professor, Aerospace and Mechanical Engineering at the University of Notre Dame"
Pinar,Zorlutuna,Notre Dame,AME,Associate Professor of Aerospace and Mechanical Engineering at the University of Notre Dame
Crislyn,D'Souza-Schorey,Notre Dame,BIO,Morris Pollard Collegiate Professor of Biological Sciences and Department Chair at the University of Notre Dame
Xin,Lu,Notre Dame,BIO,John M. and Mary Jo Boler Assistant Professor Department of Biological Sciences at the University of Notre Dame
Athanasia,Panopoulos,Notre Dame,BIO,Elizabeth and Michael Gallagher Family Assistant Professor of Adult Stem Cell Research at the University of Notre Dame
Zachary,Schafer,Notre Dame,BIO,"Assistant Department Chair of Biological Sciences, Coleman Foundation Associate Professor of Cancer Biology at the University of Notre Dame"
